Player,Type,M,Inn,NO,Runs,HS,Avg,BF,SR,4s,6s,50s,100s,Value (0-10),Base Price (Crore Rs.),Selling Price (Crore Rs),Valuation (Crore Rs.),Difference (Crore Rs.)
Virat Kohli,batsman,192,184,30,5878,113,38.17,4496,130.74,503,201,39,5,10,2,15,20,5
Rohit Sharma,batsman,200,195,28,5230,109,31.32,4004,130.62,458,213,39,1,10,2,16,20,4
Shikhar Dhawan,batsman,176,175,23,5196,106,34.18,4096,126.86,591,108,41,2,9,2,8.25,18,9.75
Shubman Gill,batsman,41,38,10,939,76,33.54,750,125.2,87,24,7,0,7,1,8,7,-1
Shreyas Iyer,batsman,79,79,9,2200,96,31.43,1745,126.07,189,83,16,0,7.5,2,12.25,15,2.75
Manish Pandey,batsman,146,135,25,3268,114,29.71,2686,121.67,287,93,18,1,6.5,1,4.6,6.5,1.9
Mayank Agarwal,batsman,88,83,3,1694,106,21.18,1259,134.55,162,67,7,1,7,1.5,12,10.5,-1.5
Prithvi Shaw,batsman,38,38,0,826,99,21.74,591,139.76,99,27,6,0,7.5,1,7.5,7.5,0
Cheteshwar Pujara,batsman,30,22,3,390,51,20.53,391,99.74,50,4,1,0,4,0.5,0,2,2
Ajinkya Rahane,batsman,149,140,16,3933,105,31.72,3240,121.39,416,76,28,2,5,1,1,5,4
Hardik Pandya,all,80,74,29,1349,91,29.98,847,159.27,86,93,4,0,7,2,15,14,-1
Hanuma Vihari,batsman,24,23,3,284,46,14.2,321,88.47,23,1,0,0,3,0.5,0,1.5,1.5
Ravindra Jadeja,all,184,139,54,2159,50,25.4,1706,126.55,157,76,1,0,7,2,16,14,-2
KL Rahul,WK,81,72,13,2647,132,44.86,1949,135.81,234,104,21,2,7.5,2,17,15,-2
Sanju Samson,WK,107,103,10,2584,102,27.78,1932,133.75,191,115,13,2,7.5,2,14,15,1
Wriddhiman Saha,WK,124,99,22,1979,115,25.7,1499,132.02,184,64,8,1,6,1,1.9,6,4.1
Rishabh Pant,WK,68,68,9,2079,128,35.24,1368,151.97,183,103,12,1,8,2,16,16,0
Mohammad Hafeez,batsman,8,8,1,64,16,9.14,83,77.11,7,2,0,0,0,0,0,0,0
Shoaib Malik,batsman,7,5,1,52,24,13,47,110.64,5,0,0,0,0,0,0,0,0
Aaron Finch,batsman,87,85,6,2005,88,25.38,1570,127.71,204,75,14,0,5,1.5,0,7.5,7.5
Steven Smith,batsman,95,86,20,2333,101,35.35,1805,129.25,212,58,11,1,6,0,0,0,0
David Warner,batsman,142,142,19,5254,126,42.72,3712,141.54,511,194,48,4,8,2,6.25,16,9.75
Glenn Maxwell,all,82,79,11,1505,95,22.13,973,154.68,118,91,6,0,7,1.5,11,10.5,-0.5
Marcus Stoinis,all,46,42,13,825,65,28.45,601,137.27,65,34,4,0,6,1.5,9.2,9,-0.2
Moises Henriques,all,57,50,16,969,74,28.5,756,128.17,87,27,5,0,5,1,0,5,5
Travis Head,batsman,10,10,3,205,75,29.29,148,138.51,12,8,1,0,5,0,0,0,0
Alex Carey,batsman,3,3,1,32,14,16,29,110.34,0,1,0,0,5,0,0,0,0
Matthew Wade,batsman,3,3,0,22,11,7.33,33,66.67,0,0,0,0,6,2,2.4,12,9.6
Tim Paine,batsman,2,2,0,10,8,5,26,38.46,0,0,0,0,3,0,0,0,0
Angelo Mathews,batsman,49,42,11,724,65,23.35,575,125.91,44,29,1,0,6,0,0,0,0
Thisara Perera,batsman,37,30,8,422,40,19.18,307,137.46,23,26,0,0,6.5,0.5,0,3.25,3.25
Kusal Perera,batsman,2,2,0,14,14,7,13,107.69,3,0,0,0,6,0.5,0,3,3
Shakib Al Hasan,all,63,46,11,746,66,21.31,589,126.66,70,20,2,0,7,2,0,14,14
Eoin Morgan,batsman,66,59,9,1272,68,25.44,1007,126.32,104,58,5,0,7,1.5,0,10.5,10.5
Jason Roy,batsman,8,8,2,179,91,29.83,134,133.58,18,8,1,0,7,2,2,14,12
Liam Livingstone,batsman,4,4,1,70,44,23.33,48,145.83,6,5,0,0,8,1,11.5,8,-3.5
Moeen Ali,all,19,17,2,309,66,20.6,195,158.46,21,23,3,0,7,1,8,7,-1
Ben Stokes,all,42,41,6,920,107,26.29,681,135.1,79,32,2,2,7.5,0,0,0,0
Jonny Bairstow,WK,21,21,2,790,114,41.58,555,142.34,79,31,5,1,7.5,1.5,6.75,11.25,4.5
Jos Buttler,WK,58,57,8,1714,95,34.98,1146,149.56,167,77,11,0,7.5,1.5,10,11.25,1.25
Sam Billings,WK,22,19,0,334,56,17.58,250,133.6,31,10,3,0,5.5,2,2,11,9
