Player,Type,M,Inn,B,Wkts,Avg,SR,5W,10W,1/Runs,1/Econ,Value (0-10),Base Price (Crore Rs.),Selling Price (Crore Rs),Valuation (Crore Rs.),Difference (Crore Rs.)
Hardik Pandya,all,80,60,869,42,31.26,20.69,0,0,0.000761615,0.110253583,7,2,15,14,-1
Ravindra Jadeja,all,184,155,2713,114,30.44,23.8,1,0,0.000288184,0.130378096,7,2,16,14,-2
Ravichandran Ashwin,all,154,151,3230,138,26.81,23.41,0,0,0.00027027,0.145560408,7,1,8,7,-1
Mohammed Shami,bowler,63,63,1354,60,33.45,22.57,0,0,0.000498256,0.112485939,8,1,6,8,2
Jasprit Bumrah,bowler,92,92,2092,109,23.73,19.19,0,0,0.000386548,0.134770889,8.5,2,12,17,5
Kuldeep Yadav,bowler,45,43,896,40,30.9,22.4,0,0,0.000809061,0.120772947,7,1,2,7,5
Yuzvendra Chahal,bowler,99,98,2130,121,22.5,17.6,0,0,0.000367242,0.130378096,7.5,2,6.5,15,8.5
Navdeep Saini,bowler,26,26,562,17,45.65,33.06,0,0,0.00128866,0.120772947,6.5,0.75,2.6,4.875,2.275
Shardul Thakur,bowler,45,44,901,46,29.13,19.59,0,0,0.000746269,0.112107623,6.5,2,10.75,13,2.25
Umesh Yadav,bowler,121,120,2522,119,30.08,21.19,0,0,0.000279408,0.117508813,6,2,2,12,10
Mohammed Siraj,bowler,35,35,716,39,27.79,18.36,0,0,0.000922509,0.110132159,6.5,1,7,6.5,-0.5
Michael Neser,bowler,1,1,24,0,0,0,0,0,0.016129032,0.064516129,4,0.5,1,2,1
Daniel Sams,bowler,3,3,72,0,0,0,0,0,0.00877193,0.105263158,6,1,2.6,6,3.4
Pat Cummins,bowler,30,30,673,29,31.31,23.21,0,0,0.001101322,0.12345679,7,2,7.25,14,6.75
Mitchell Starc,bowler,27,26,580,34,20.38,17.06,0,0,0.001443001,0.139470014,7.5,1,10,7.5,-2.5
Adam Zampa,bowler,14,14,287,21,17.62,13.67,1,0,0.002702703,0.129198966,5,2,0,10,10
Sean Abbott,bowler,2,2,30,0,0,0,0,0,0.01754386,0.087719298,3,0.75,2.4,2.25,-0.15
Josh Hazlewood,bowler,3,3,60,1,64,60,0,0,0.015625,0.15625,6.5,2,7.75,13,5.25
Andrew Tye,bowler,27,27,618,40,21.8,15.45,1,0,0.001146789,0.118063754,4,1,0,4,4
James Pattinson,bowler,10,10,213,11,29.09,19.36,0,0,0.003125,0.110987791,5,0.5,2,2.5,0.5
Isuru Udana,bowler,10,10,174,8,35.25,21.75,0,0,0.003546099,0.102880658,4,0.5,0,2,2
Lasith Malinga,bowler,122,122,2827,170,19.79,16.63,1,0,0.000297177,0.140056022,8,1.5,0,12,12
Shakib Al Hasan,all,63,62,1328,59,28,22.51,0,0,0.000605327,0.134048257,7,2,0,14,14
Mashrafe Mortaza,bowler,1,1,24,0,0,0,0,0,0.017241379,0.068965517,3,0.5,0,1.5,1.5
Mustafizur Rahman,bowler,24,24,547,24,28.54,22.79,0,0,0.001459854,0.133155792,6.5,2,2,13,11
Chris Woakes,all,18,18,374,25,23.04,14.96,0,0,0.001736111,0.108225108,6,0.5,3,3,0
Tom Curran,all,10,10,170,9,36.22,18.89,0,0,0.003067485,0.086880973,5.5,0.2,0,1.1,1.1
Sam Curran,all,23,22,450,23,29,19.57,0,0,0.00149925,0.112485939,5.5,0.3,2,1.65,-0.35
Mark Wood,bowler,1,1,24,0,0,0,0,0,0.020408163,0.081632653,6,2,7.5,12,4.5
Jofra Archer,bowler,35,35,825,46,21.33,17.93,0,0,0.001019368,0.140252454,7,2,8,14,6
Chris Jordan,bowler,20,20,387,21,28.67,18.43,0,0,0.00166113,0.107181136,6,2,3.6,12,8.4
Jason Holder,all,18,18,384,19,28.37,20.21,0,0,0.001855288,0.118764846,5,1.5,8.75,7.5,-1.25
Andre Russell,all,74,68,1147,61,28.08,18.8,0,0,0.000583771,0.111607143,7.5,2,12,15,3
Carlos Brathwaite,all,16,16,254,13,29.15,19.54,0,0,0.002638522,0.111731844,6,0.5,3,3,0
Sheldon Cottrell,bowler,6,6,120,6,29.33,20,0,0,0.005681818,0.113636364,6,0.75,0,4.5,4.5
Kemar Roach,bowler,2,2,48,0,0,0,0,0,0.0125,0.1,5,0.5,2.5,2.5,0
